,num,artists,name,album,genre,duration_ms,explicit,id,track_number,is_local,popularity,available_markets,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1147,1148,Jungle,Busy Earnin',Jungle,indie soul,181772,False,07tOsOR7E9zW89v2FqzsdG,3,False,0,0,0.209,0.457,0.883,5.11e-06,0.0912,-5.61,0.0376,99.937,0.736
1148,1149,Jungle,Casio,For Ever,indie soul,234369,False,33wUd3GgaRf2rux2aJ71yb,6,False,1,0,0.431,0.816,0.492,0.0899,0.0995,-7.464,0.0752,115.989,0.766
1149,1150,TWIN XL,Thrill,How To Talk To Strangers,modern alternative rock,176826,False,0Joj2H9iWQrEQpHLOmEFwo,5,False,23,184,0.312,0.796,0.846,2.1e-06,0.11,-4.624,0.0318,105.952,0.86
1150,1151,The Hoosiers,Goodbye Mr A,The Trick To Life,pop,266813,False,63NfeOqLaCszi5gKAaP7qP,4,False,44,184,0.085,0.468,0.841,0.00195,0.187,-3.263,0.0294,185.966,0.574
1151,1152,Antonio Vivaldi,"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Vivaldi: The Four Seasons,baroque,204146,False,64ZxBE1ZgK4C0lGljXzDcG,10,False,60,180,0.81,0.48,0.163,0.754,0.093,-19.117,0.0645,158.366,0.212
1152,1153,Beck,Saw Lightning,Saw Lightning,alternative rock,241451,False,0JeNWvckrkYpR8cY5A4Phs,1,False,45,184,0.0502,0.675,0.911,0.0488,0.0736,-5.075,0.0449,120.016,0.849
1153,1154,Antonio Vivaldi,"Vivaldi: The Four Seasons, Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",Vivaldi: The Four Seasons,baroque,169906,False,4wgS4pen0Kej9PafGhUhMJ,6,False,54,184,0.858,0.292,0.456,0.938,0.172,-14.098,0.0378,149.393,0.511
1154,1155,Antonio Vivaldi,"Vivaldi: Gloria in D Major, RV 589: I. Gloria in excelsis Deo",Vivaldi Gloria,baroque,147320,False,5Txwlv081K39njx353jh7r,1,False,50,184,0.944,0.459,0.287,0.0214,0.183,-16.162,0.0338,127.697,0.412
1155,1156,Sjowgren,Seventeen,Seventeen,indie folk,225666,False,4gsR34XSIE2fUY4odwZqym,1,False,67,184,0.305,0.612,0.725,0.0784,0.0548,-5.602,0.0416,146.008,0.333
1156,1157,Twinfolds,Meet You at Dinner,Meet You at Dinner,pop,222038,False,0nfgQwc27WMWvESldg8VHf,1,False,9,184,0.12,0.71,0.46,1.39e-05,0.155,-7.845,0.0437,114.003,0.67
1157,1158,Gauche,Flash,Flash,riot grrrl,241792,False,3iMJJnDilK1OLOOzsZ12nF,1,False,0,0,0.0491,0.473,0.783,0.00675,0.119,-5.199,0.0318,153.796,0.787
1158,1159,Jade Imagine,Gonna Do Nothing,Basic Love,australian indie rock,218413,False,7vxF9yNw1S3vCL15CJE1ek,1,False,12,182,0.424,0.713,0.542,0.81,0.138,-9.465,0.0302,131.099,0.428
